Name,WD17NM_x,HPrice,medIncome,Tquantity,CrimRate,FareZone,Perof65years,drivingTime,PTransportTime,TPopulation,AreaKm2,PeoplePerkm2,Av GCSE 2013,GrnSpacem2T,Cemissions,TTprimaryS,TTsecodS,TTGP,TTHosp,TTfoodSt,pcds
Barking and Dagenham 016D,Eastbury,313500,36020,18,76,4,10.2,45,47,1928,0.17,11301,457,6,96,5,12,9,39,9,IG11 7QR
Barking and Dagenham 017C,Eastbury,316000,34910,19,105,5,10.6,44,56,1654,0.3,5545,490,85.3,104,6,10,5,37,6,RM9 4EJ
Barking and Dagenham 017D,Eastbury,300000,33790,21,54,5,9.6,46,53,1830,0.16,11768,483,6.1,92,7,10,8,39,9,RM9 4ES
Barking and Dagenham 021B,Gascoigne,300000,29020,0,47,4,3.5,40,53,1773,0.06,27403,528,22,95,6,11,5,37,8,IG11 7TF
Barking and Dagenham 021C,Gascoigne,309000,30750,7,99,4,6.3,43,51,1895,0.21,8930,497,55,105,7,12,5,40,7,IG11 7JU
Barking and Dagenham 019C,Gascoigne,290000,32860,7,79,4,11.9,41,47,1842,0.14,13377,461,8.3,97,10,11,5,31,7,IG11 7ER
Barking and Dagenham 021D,Gascoigne,318000,29150,2,55,4,3.3,42,48,1245,0.07,18666,523,15.5,99,5,10,5,29,5,IG11 7PN
Barking and Dagenham 019D,Gascoigne,318000,33220,23,86,4,13,42,54,2154,0.2,10786,424,38.1,117,10,11,7,33,5,IG11 7XH
Barking and Dagenham 020A,Goresbrook,200000,33730,9,86,5,13,49,59,1599,0.18,8839,485,35,103,6,10,6,30,8,RM9 6BQ
Barking and Dagenham 018A,Goresbrook,296000,35160,18,72,5,14.1,47,53,1806,0.17,10549,470,6.5,89,9,14,7,43,10,RM9 6AP
Barking and Dagenham 018B,Goresbrook,302500,35070,12,71,5,10.4,46,55,1690,0.15,11575,427,12.4,90,5,16,10,43,8,RM9 4UX
Barking and Dagenham 018C,Goresbrook,302500,34710,12,90,5,11.9,48,54,1631,0.24,6695,404,72.8,94,11,12,9,37,10,RM9 6AR
Barking and Dagenham 012A,Goresbrook,302500,34810,11,90,5,10.2,48,48,1516,0.15,10264,465,1.9,93,10,13,7,37,6,RM9 4TP
Barking and Dagenham 018D,Goresbrook,300000,35490,21,57,5,10.4,49,52,2005,0.18,11004,469,64.2,92,8,13,5,42,9,RM9 6DA
Barking and Dagenham 013C,Goresbrook,291750,34310,14,53,5,13.1,51,58,1579,0.21,7580,475,53.9,88,5,14,7,35,8,RM9 6HU
Barking and Dagenham 006B,Heath,300000,33770,24,156,5,14.7,54,68,1920,0.55,3492,400,162.7,86,5,8,7,18,6,RM10 7FH
Barking and Dagenham 006C,Heath,227000,29680,6,122,5,4.6,56,69,1838,0.61,3011,436,535.1,88,6,5,5,15,5,RM10 7AY
Barking and Dagenham 006D,Heath,311000,34410,15,66,5,18.3,58,71,2043,0.22,9232,432,33.6,85,7,12,8,21,6,RM10 7PP
Barking and Dagenham 004A,Heath,296000,33650,20,55,5,12.8,53,68,1679,0.18,9266,405,9.7,91,5,10,5,18,6,RM10 7RR
Barking and Dagenham 006E,Heath,290000,33090,17,85,5,19.4,59,65,2105,0.21,10081,385,32.2,87,9,11,10,17,6,RM10 7EE
Barking and Dagenham 007A,Heath,290000,31860,15,67,5,18.8,54,62,1797,0.23,7693,402,22.4,90,5,10,5,19,5,RM10 7RE
Barking and Dagenham 011A,Longbridge,305000,39730,14,62,4,13.2,50,59,2103,0.24,8587,501,22.9,92,9,10,8,24,10,IG11 9AL
Barking and Dagenham 011B,Longbridge,445000,40710,15,43,4,14.8,49,58,2149,0.19,11164,473,16.9,94,8,9,5,22,9,IG11 9EP
Barking and Dagenham 016E,Longbridge,425000,42420,12,67,4,10.7,48,48,1679,0.34,4943,487,129.3,91,9,6,9,24,6,IG11 9XT
Barking and Dagenham 011C,Longbridge,470000,43070,18,47,4,13.1,50,50,1843,0.2,9192,510,36,92,5,5,6,27,8,IG11 9AE
Barking and Dagenham 011D,Longbridge,430000,41740,17,104,4,17.7,48,52,2101,0.39,5362,501,119.9,96,10,11,6,22,5,IG11 9JX
Barking and Dagenham 011E,Longbridge,429000,40490,21,56,4,18.5,47,44,2465,0.27,9109,470,40.1,92,8,8,7,31,9,IG11 9JP
Barking and Dagenham 017E,Mayesbrook,285500,31600,24,94,5,15.3,45,58,2079,0.52,3997,427,255.6,89,11,18,9,37,6,RM8 2LT
Barking and Dagenham 012B,Mayesbrook,301500,34000,16,59,5,12.8,48,62,1747,0.28,6138,466,106.2,88,6,15,6,35,8,RM8 2YS
Barking and Dagenham 012C,Mayesbrook,310000,33920,8,60,5,10.2,47,59,1622,0.16,9878,484,4.4,90,6,13,5,33,9,RM8 2YX
Barking and Dagenham 012D,Mayesbrook,342500,34640,16,68,5,14.9,48,48,1756,0.52,3394,443,255.6,87,10,10,5,31,6,RM9 4SP
Barking and Dagenham 012E,Mayesbrook,293000,32930,13,49,5,11.8,45,56,2044,0.19,10718,460,12.5,89,10,15,6,36,8,RM9 4PH
Barking and Dagenham 008F,Mayesbrook,288500,32750,9,73,5,10.7,49,56,1525,0.17,8774,498,22.2,92,5,6,6,25,6,RM8 2XD
Barking and Dagenham 007B,Parsloes,290000,33150,10,82,5,11.4,50,60,1776,0.18,10102,462,7.7,94,5,7,5,23,5,RM9 5LT
Barking and Dagenham 009E,Parsloes,309500,33180,20,55,5,13,55,56,1579,0.31,5100,423,147.3,88,10,10,7,26,6,RM9 5AR
Barking and Dagenham 007C,Parsloes,250000,32920,11,77,5,10.2,48,55,1593,0.23,6887,504,62.4,90,6,6,6,27,7,RM9 5YA
Barking and Dagenham 007D,Parsloes,295000,34050,16,43,5,10.8,53,61,1710,0.19,9203,458,5.5,86,7,6,6,23,5,RM9 5AJ
Barking and Dagenham 007E,Parsloes,295000,34210,20,68,5,10.6,51,63,1778,0.16,11064,480,7.9,90,7,9,7,19,5,RM8 3BG
Barking and Dagenham 007F,Parsloes,302500,33650,14,62,5,12.7,51,58,1760,0.18,9783,546,22.2,93,6,10,5,20,5,RM8 3AT
Barking and Dagenham 013D,River,318000,34280,9,94,5,9.6,52,53,1377,0.15,9180,395,21.1,95,5,13,5,28,7,RM9 6HH
Barking and Dagenham 013E,River,285000,32380,21,76,5,11.6,50,53,1762,0.15,12127,399,15.3,91,6,13,10,27,5,RM10 9NY
Barking and Dagenham 013F,River,289000,35140,10,81,5,9.9,51,53,1442,0.14,10293,390,29.2,90,5,13,8,28,7,RM9 6LX
Barking and Dagenham 020B,River,315000,34620,8,128,5,9.2,52,62,1425,0.37,3826,485,36.1,95,6,9,5,31,5,RM10 9LR
Barking and Dagenham 020C,River,292500,36490,22,66,5,14.5,52,63,2060,0.23,9099,483,39.8,85,9,5,5,33,5,RM10 9AB
Barking and Dagenham 020D,River,285000,35620,29,57,5,9.2,54,68,1840,0.15,12646,466,5,84,6,8,5,35,9,RM10 9EP
Barking and Dagenham 020E,River,300000,36330,14,82,5,9.9,54,69,1704,1.96,872,454,397.3,89,5,9,5,32,9,RM10 9DT
Barking and Dagenham 022A,Thames,382000,31520,5,69,4,9.5,44,61,2001,0.25,8128,426,37.7,88,7,13,7,46,7,IG11 0AB
Barking and Dagenham 019E,Thames,295495,35690,173,123,4,15.7,47,64,3984,2.64,1506,451,1627.1,87,7,11,10,37,8,IG11 0DS
Barking and Dagenham 022B,Thames,236125,31770,7,81,4,6.3,44,58,1703,0.29,5796,368,106.7,101,6,13,6,42,6,IG11 0LG
Barking and Dagenham 022C,Thames,218750,36430,18,43,5,2.2,45,62,1639,0.6,2719,472,179.8,85,10,12,10,45,9,IG11 0PZ
Barking and Dagenham 018E,Thames,300000,36670,7,251,5,8.5,46,65,1848,2.29,805,425,759.4,98,10,10,10,40,7,IG11 0XR
Barking and Dagenham 022D,Thames,303000,31630,5,90,5,5.6,44,57,1301,0.6,2160,484,233.1,103,8,8,8,42,6,RM9 4XT
Barking and Dagenham 023C,Valence,317000,34570,11,68,5,19.5,58,44,1789,0.18,9983,500,21.8,92,5,10,7,12,5,RM8 1TH
Barking and Dagenham 023D,Valence,320000,34030,21,67,5,9.3,56,54,1891,0.18,10781,456,8.8,92,5,10,6,15,5,RM8 3RR
Barking and Dagenham 023E,Valence,305000,35500,27,80,5,12.6,54,53,2241,0.31,7229,501,58.8,89,6,10,5,13,6,RM8 1BZ
Barking and Dagenham 004B,Valence,298750,34640,18,59,5,12.3,55,60,1675,0.21,7920,494,47.1,86,5,11,6,17,7,RM8 1BT
Barking and Dagenham 004C,Valence,305000,34120,13,67,5,11.6,56,63,1663,0.16,10146,432,7.3,91,6,8,5,15,7,RM8 3DR
Barking and Dagenham 007G,Valence,299500,34720,12,66,5,12.7,53,57,1694,0.25,6701,406,77.7,87,6,12,9,20,9,RM8 3AU
Barking and Dagenham 014A,Village,300000,32890,11,74,5,10,60,59,1526,0.7,2176,383,519.4,83,6,11,10,18,8,RM10 9XL
Barking and Dagenham 014B,Village,325000,32400,17,109,5,9.8,57,58,1760,0.22,7993,454,75.7,89,6,10,10,16,9,RM10 9WJ
Barking and Dagenham 014C,Village,240000,31560,13,126,5,17.4,54,52,2321,0.22,10507,404,33.5,87,9,13,9,28,8,RM10 8RR
Barking and Dagenham 014D,Village,235000,32100,21,97,5,14.5,57,58,2101,0.22,9576,371,50.2,86,10,14,5,28,9,RM10 9SS
Barking and Dagenham 010C,Village,330000,36300,13,41,5,18,58,55,1711,0.54,3192,481,273.8,80,7,12,9,20,12,RM10 8AT
Barking and Dagenham 010D,Village,315000,35930,20,93,5,13.6,59,51,1655,0.24,6836,480,50,85,7,12,5,17,6,RM10 8UB
Barking and Dagenham 004D,Whalebone,366000,37700,57,63,5,13.2,56,57,1796,0.38,4786,455,115.5,85,8,9,7,14,5,RM8 1PL
Barking and Dagenham 002C,Whalebone,383000,41580,19,48,5,13.4,58,57,1457,0.19,7491,474,40.2,88,7,8,8,19,5,RM6 6EE
Barking and Dagenham 002D,Whalebone,283750,36830,22,66,5,17.2,58,57,1993,0.3,6719,473,25.5,94,8,10,8,16,7,RM6 6DD
Barking and Dagenham 002E,Whalebone,333500,37950,18,73,5,13.4,58,53,2095,0.28,7550,513,34.3,91,6,10,7,13,6,RM6 6HS
Barking and Dagenham 002F,Whalebone,360000,39330,23,90,5,11.8,59,46,1816,0.15,11800,593,5.7,91,9,10,10,10,5,RM6 4BE
Barking and Dagenham 004E,Whalebone,327500,37740,20,89,5,14.7,59,66,2243,0.26,8755,469,40.6,91,10,7,10,14,5,RM8 1JH
Barnet 009A,Brunswick Park,902000,44710,10,30,4,18.4,59,55,1457,0.27,5318,538,41.9,88,5,10,5,21,7,N14 5JX
Barnet 009B,Brunswick Park,585750,40960,20,48,4,19.4,60,57,1887,0.25,7696,596,31.4,89,6,12,6,26,8,EN4 8LN
Barnet 010A,Brunswick Park,537500,38580,22,60,4,24.3,62,63,1883,0.33,5685,502,45.3,88,6,10,10,25,6,EN4 8NA
Barnet 010B,Brunswick Park,525000,39090,29,39,4,19.1,62,66,2062,0.29,7222,481,29.9,92,6,11,7,22,8,EN4 8JN
Barnet 009C,Brunswick Park,650000,42670,11,36,4,22.4,57,56,1716,0.4,4318,554,142.5,86,9,7,8,31,9,N14 7NH
Barnet 009D,Brunswick Park,697500,43200,10,34,4,18.3,59,54,1519,0.25,6197,570,33.6,90,7,8,5,27,8,N14 5JL
Barnet 010C,Brunswick Park,549995,33380,7,55,4,14.3,59,63,1473,0.38,3917,432,235,88,6,16,6,24,10,N11 1JF
Barnet 009E,Brunswick Park,647500,42020,12,38,4,15.1,55,54,1464,0.24,6201,585,42.1,90,10,13,10,34,10,N11 1DD
Barnet 010D,Brunswick Park,460000,37770,27,55,4,13.4,54,53,1752,0.53,3323,497,252.2,90,9,12,10,26,10,N11 1JS
Barnet 010E,Brunswick Park,398500,34370,12,117,4,11.8,52,47,1689,0.26,6603,535,38.4,100,5,9,10,23,8,N11 1YF
Barnet 024A,Burnt Oak,330000,29790,18,83,4,18.5,63,48,3086,0.31,10029,442,83.2,92,9,11,5,32,5,HA8 0AG
Barnet 026A,Burnt Oak,287000,28800,13,29,4,10,66,49,2236,0.16,13854,460,36.5,89,8,10,10,33,10,NW9 5FE
