Name,WD17NM_x,HPrice,medIncome,Tquantity,CrimRate,FareZone,Perof65years,drivingTime,PTransportTime,TPopulation,AreaKm2,PeoplePerkm2,Av GCSE 2013,GrnSpacem2T,Cemissions,TTprimaryS,TTsecodS,TTGP,TTHosp,TTfoodSt,pcds
Camden 010B,West Hampstead,665000,47830,19,52,2,7.2,39,36,1530,0.07,22174,354,0,110,5,7,5,17,5,NW6 1QR
Camden 010C,West Hampstead,750000,50480,13,35,2,11.9,40,38,1588,0.08,19776,432,1.2,104,5,5,5,20,5,NW6 1BR
Camden 010D,West Hampstead,615000,41020,5,142,2,15.9,34,37,2153,0.14,15379,420,15.6,129,10,10,10,12,5,NW3 6DX
Camden 010E,West Hampstead,755000,42890,148,111,2,10.2,40,36,2107,0.24,8947,370,36.4,125,8,10,7,14,7,NW6 2HQ
Camden 013E,West Hampstead,487000,38030,12,78,2,10.9,37,35,1844,0.11,16063,447,6.6,124,10,12,10,15,9,NW6 2QH
Croydon 022A,Addiscombe,374700,39400,168,83,5,9.4,66,51,1619,0.19,8548,568,14,95,5,10,5,21,7,CR0 6BA
Croydon 022B,Addiscombe,320000,35880,19,90,5,12.2,65,55,2021,0.16,12353,521,14.5,99,9,10,5,20,5,CR0 6TB
Croydon 022C,Addiscombe,272500,35720,22,59,5,17.1,69,65,1668,0.17,9636,536,25.7,95,10,10,6,25,7,CR0 6AL
Croydon 022D,Addiscombe,305000,37810,21,59,5,11.7,65,57,1825,0.16,11617,599,13.5,90,10,10,8,24,5,CR0 6QF
Croydon 022E,Addiscombe,415000,39720,22,54,5,11.8,66,54,1776,0.13,13557,539,6.5,92,8,10,6,23,6,CR0 6SJ
Croydon 017A,Addiscombe,365000,39240,17,38,4,7.9,65,65,1417,0.14,9786,603,17.1,90,6,12,10,27,8,CR0 6BZ
Croydon 017B,Addiscombe,395000,39680,18,49,5,10,64,67,1678,0.17,9807,524,28.6,88,5,13,9,34,5,CR0 6LR
Croydon 017C,Addiscombe,390325,38640,14,46,4,9.6,66,64,1677,0.14,12250,444,9.6,88,5,13,10,26,7,CR0 6GD
Croydon 017D,Addiscombe,374995,40130,67,55,5,12.8,64,69,1654,0.16,10596,509,2.3,88,8,10,6,27,5,CR0 6LH
Croydon 022F,Addiscombe,340000,36120,13,63,4,17.1,63,58,1866,0.17,10824,546,18.3,91,8,10,5,24,5,CR0 6EA
Croydon 021A,Ashburton,522500,41980,13,34,5,18,66,73,1466,0.38,3848,539,130.6,89,10,10,6,30,9,CR0 7JG
Croydon 021B,Ashburton,435000,42050,23,44,5,19,63,68,1792,0.33,5510,519,34.5,91,10,10,9,29,7,CR0 7DA
Croydon 021C,Ashburton,474000,41630,13,41,5,16.3,63,73,1483,0.16,9246,491,4,90,10,10,9,29,6,CR0 7DH
Croydon 018A,Ashburton,446250,41050,18,32,5,15.8,62,80,1734,0.26,6667,504,35.2,86,10,12,5,28,10,CR0 7SH
Croydon 045A,Ashburton,345000,32590,3,65,5,11.8,61,72,1460,0.17,8690,463,18.6,94,7,10,10,32,5,CR0 7AR
Croydon 018B,Ashburton,472500,41620,18,39,5,27.3,64,81,1644,0.45,3684,480,64,85,8,8,9,42,9,CR0 7QH
Croydon 014A,Ashburton,390500,35020,12,79,5,11.3,62,73,2065,0.5,4168,514,251.2,89,8,9,7,32,6,CR0 7BA
Croydon 021D,Ashburton,427500,40470,16,69,5,14.9,65,72,1739,0.16,10584,503,8.1,91,10,10,10,28,5,CR0 7DD
Croydon 009A,Bensham Manor,365000,35710,17,58,3,11.9,53,56,1538,0.18,8759,580,31.7,90,6,12,9,14,6,CR7 7NG
Croydon 009B,Bensham Manor,405000,33680,13,98,3,14.3,53,60,1691,0.14,11792,465,11.1,95,5,10,7,10,5,CR7 7NA
Croydon 009C,Bensham Manor,355500,36700,6,54,4,9.8,54,55,1226,0.11,11654,449,17.3,89,6,11,9,18,8,CR7 7LD
Croydon 009D,Bensham Manor,375000,35350,11,64,4,13.4,55,52,1341,0.11,12603,485,1.8,91,10,10,8,12,10,CR7 7DU
Croydon 010A,Bensham Manor,275000,33120,17,91,4,9.6,55,49,1512,0.14,10893,487,13,93,10,14,9,14,5,CR7 7DA
Croydon 009E,Bensham Manor,359500,34500,8,48,4,11.4,54,56,1305,0.1,13385,529,0.2,91,7,10,6,14,6,CR7 7LP
Croydon 010B,Bensham Manor,255000,34690,7,109,4,7.8,57,46,1331,0.14,9596,515,17.3,97,10,13,5,11,5,CR7 7AH
Croydon 013A,Bensham Manor,290000,32900,6,88,4,8.9,57,51,1217,0.12,10025,522,3.5,95,6,7,9,11,8,CR0 2QE
Croydon 009F,Bensham Manor,365000,34950,11,64,4,10,58,51,1414,0.11,13215,423,4.3,92,7,10,5,9,5,CR7 7EY
Croydon 010C,Bensham Manor,383000,34070,13,55,4,11,58,51,1654,0.16,10596,491,43.9,91,9,12,6,8,7,CR7 7BG
Croydon 015A,Bensham Manor,306000,33490,20,60,4,7.3,59,60,2267,0.16,14560,519,20.9,89,5,12,10,5,6,CR0 2NJ
Croydon 019A,Broad Green,319125,32540,18,108,5,6.9,61,64,1684,0.09,18384,562,1.6,98,8,14,5,10,5,CR0 3PA
Croydon 016A,Broad Green,275000,33490,19,113,5,6.5,59,64,1625,0.29,5563,471,66.4,93,9,11,5,21,6,CR0 4US
Croydon 016B,Broad Green,350000,33130,10,58,5,11.4,57,67,2027,0.15,13559,491,1.5,94,8,9,7,20,9,CR0 3DA
Croydon 019B,Broad Green,343500,31640,13,81,5,8.9,58,69,1757,0.18,9549,468,9.9,104,5,9,7,13,7,CR0 3NH
Croydon 019C,Broad Green,325000,33550,10,72,5,9,57,66,1877,0.11,16364,424,6.7,97,8,14,5,11,5,CR0 3PE
Croydon 019D,Broad Green,355000,30180,10,329,5,9.3,59,68,1592,0.73,2184,489,119,93,5,11,10,14,7,CR0 4UQ
Croydon 019E,Broad Green,263000,31560,9,119,5,6.6,59,58,1958,0.12,16010,443,5.8,106,9,10,8,11,7,CR0 0XL
Croydon 020A,Broad Green,243750,30620,16,88,5,9.3,62,54,1955,0.14,13700,502,6,93,9,8,5,13,6,CR0 2UD
Croydon 020B,Broad Green,220000,28680,11,213,5,12.8,61,58,2094,0.2,10528,519,25,95,9,10,7,17,5,CR0 3SB
Croydon 024A,Broad Green,280000,33850,68,386,5,11.2,60,66,3627,0.64,5648,519,168.6,93,10,11,10,17,5,CR0 3RD
Croydon 041A,Coulsdon East,297500,41220,10,32,6,13,84,73,1537,0.4,3835,482,104,79,7,11,10,17,10,CR5 2RE
Croydon 041B,Coulsdon East,433750,42600,16,56,6,23.6,83,85,1703,1.05,1625,548,654.8,79,10,10,10,14,10,CR2 4AP
Croydon 043A,Coulsdon East,529000,46660,27,33,6,21.5,89,81,1666,1.35,1239,532,874.4,76,15,29,18,30,21,CR3 1DA
Croydon 044A,Coulsdon East,456250,42520,36,27,6,22.4,94,100,1588,0.95,1670,532,571.2,77,7,11,7,22,11,CR5 1JH
Croydon 044B,Coulsdon East,560000,44070,21,25,6,24.7,88,85,1529,0.6,2556,543,76.2,78,8,11,10,18,9,CR5 2LD
Croydon 044C,Coulsdon East,421500,41230,18,46,6,22.3,91,89,1656,0.36,4597,543,71,78,5,10,5,18,8,CR3 1HE
Croydon 044D,Coulsdon East,329000,35120,19,41,6,19.8,91,88,1399,2.04,685,596,1895.1,75,9,10,7,22,7,CR3 1BG
Croydon 044E,Coulsdon East,420000,42030,20,35,6,26.8,92,115,1490,1,1494,522,591.7,76,13,8,12,27,12,CR3 1SU
Croydon 041C,Coulsdon West,343250,39390,22,120,6,15.4,80,70,1317,0.57,2303,569,183,87,10,10,6,14,7,CR3 2DB
Croydon 043B,Coulsdon West,427500,44140,20,30,6,14.3,82,72,1414,0.28,5074,532,34.2,83,7,10,5,19,7,CR3 2DS
Croydon 043C,Coulsdon West,475000,43840,19,37,6,15.7,85,77,1251,0.23,5482,494,19.5,79,10,10,9,25,7,CR3 3BF
Croydon 043D,Coulsdon West,415000,42130,21,29,6,16.3,82,78,1829,0.28,6601,523,11.9,81,10,11,10,21,6,CR3 3AB
Croydon 043E,Coulsdon West,554995,45850,103,35,6,15.3,82,80,1642,1.45,1136,499,938.5,79,10,14,9,22,7,CR3 3QA
Croydon 038A,Coulsdon West,760000,51500,18,43,6,23.8,78,84,1593,0.87,1826,548,143.8,82,10,9,10,17,9,CR2 3HF
Croydon 038B,Coulsdon West,680000,47900,26,62,6,21.5,77,73,1645,0.5,3291,533,17.8,86,9,10,6,14,9,CR2 1XA
Croydon 038C,Coulsdon West,630000,50520,16,27,6,15.6,79,81,1470,0.42,3508,566,0.2,84,9,10,10,14,10,CR3 2AT
Croydon 038D,Coulsdon West,503500,49580,16,25,6,16.1,82,74,1477,0.4,3678,573,62.3,82,8,11,8,18,10,CR3 2DN
Croydon 035A,Croham,680000,49370,21,24,6,24.7,79,83,1439,0.65,2226,482,190.1,83,10,12,10,25,5,CR2 0LP
Croydon 031A,Croham,373250,40730,32,101,6,14.7,74,71,1699,0.3,5696,441,66.7,89,8,13,6,10,5,CR2 6BN
Croydon 031B,Croham,335500,41090,26,55,6,9.6,73,70,1593,0.3,5326,503,68.6,88,8,10,8,16,7,CR2 0AZ
Croydon 027A,Croham,309250,40240,36,48,5,12.9,70,62,1834,0.22,8401,316,15.4,96,10,14,5,18,5,CR2 7DZ
Croydon 029A,Croham,350000,45740,25,63,5,22.1,72,65,1591,0.85,1880,657,358.1,87,10,13,10,29,5,CR2 7YP
Croydon 029B,Croham,359500,39730,22,114,5,6.9,70,67,1403,0.16,8965,460,7.6,104,8,10,7,10,5,CR2 6YD
Croydon 029C,Croham,302500,40540,43,47,5,10,69,59,1943,0.2,9595,462,18,92,6,14,10,16,7,CR2 7BA
Croydon 029D,Croham,575000,46590,17,36,6,18.2,77,79,1528,0.46,3310,586,62.9,88,9,14,10,16,7,CR2 0AB
Croydon 029E,Croham,348500,40650,31,56,6,9.3,72,75,1810,0.19,9315,493,10.2,96,10,14,5,10,6,CR2 6GZ
Croydon 031C,Croham,284000,38660,22,80,6,8.4,74,72,1664,0.2,8328,489,8.3,90,7,10,5,10,6,CR2 6BB
Croydon 024B,Fairfield,310000,35550,33,219,5,6.4,65,58,1983,0.21,9511,531,25.2,105,7,8,9,13,7,CR0 1AQ
Croydon 027B,Fairfield,295000,35920,91,593,5,8.6,66,61,2854,0.34,8345,447,30.6,104,6,10,6,11,5,CR0 1EL
Croydon 023A,Fairfield,448750,44100,40,35,5,25.3,68,58,1912,0.45,4270,495,134.8,91,7,7,10,25,7,CR0 5JQ
Croydon 027C,Fairfield,355000,37930,311,315,5,14.6,64,55,2214,0.5,4465,413,90.1,104,6,10,6,16,6,CR0 1EB
Croydon 023B,Fairfield,367500,44320,26,26,5,16.5,67,55,1770,0.2,9031,497,40.6,94,8,6,10,23,7,CR0 5NF
Croydon 027D,Fairfield,335000,37760,27,85,5,11.1,66,59,1769,0.18,9720,404,13.3,104,8,10,6,11,5,CR0 1HD
Croydon 020C,Fairfield,290000,35850,32,349,5,8.3,62,52,2119,0.35,6063,485,56.2,102,5,5,7,19,7,CR0 2BS
Croydon 023C,Fairfield,810000,48200,14,55,5,21.2,66,70,1455,1.39,1048,576,803.2,85,10,11,10,29,9,CR0 5DD
Croydon 023D,Fairfield,348500,39740,13,43,5,24.7,65,50,1659,0.15,10710,482,39.8,97,8,10,8,21,5,CR0 5LH
Croydon 030A,Fieldway,275000,28340,4,89,6,14.7,76,93,1534,0.26,5997,486,127,80,5,11,5,46,5,CR0 9EY
Croydon 030B,Fieldway,275000,28710,7,74,6,9.7,76,94,1421,0.16,8788,468,64.9,82,5,14,5,52,10,CR0 9EP
Croydon 032A,Fieldway,310000,30340,7,35,6,13.5,75,98,1562,0.23,6759,457,33.9,81,7,10,9,50,9,CR0 0PA
Croydon 030C,Fieldway,306000,28200,12,71,6,14.2,74,87,1712,0.25,6813,413,58.9,84,5,10,8,42,6,CR0 9DG
Croydon 032B,Fieldway,302500,28230,10,63,6,15.5,76,104,1552,0.29,5321,459,101.7,79,10,10,6,50,6,CR0 0RF
Croydon 030D,Fieldway,302500,27340,2,60,6,7.1,75,98,1821,0.15,11756,421,5.2,83,7,10,7,51,6,CR0 0TW
Croydon 030E,Fieldway,357000,26780,0,62,6,4.5,74,93,1873,0.14,13582,494,23.3,85,7,10,5,46,6,CR0 0QB
Croydon 034A,Heathfield,357000,39310,11,44,6,14.5,76,77,1320,0.2,6714,508,50,78,5,11,7,37,8,CR0 9AH
Croydon 034B,Heathfield,281250,38420,38,49,6,15.3,77,75,1463,0.18,7930,537,45.9,79,8,9,9,34,8,CR0 9LD
Croydon 034C,Heathfield,330500,38110,22,41,6,14.7,79,84,1613,1.52,1063,525,1234.8,76,12,21,11,40,13,CR0 9HH
Croydon 034D,Heathfield,263000,36080,30,38,6,13.1,76,84,1553,0.45,3423,421,206.6,82,8,6,8,36,5,CR2 8HD
Croydon 026A,Heathfield,626000,44880,16,93,5,26.3,66,66,1513,1.24,1217,561,752,85,9,7,10,30,10,CR0 8SB
Croydon 026B,Heathfield,471000,43620,18,56,5,16.5,70,107,1556,0.32,4885,528,48.5,87,6,9,8,32,7,CR0 8RB
Croydon 026C,Heathfield,418500,44040,20,129,6,27.7,72,79,1626,3.46,470,564,2615.2,82,8,15,10,37,9,CR0 5BB
Croydon 034E,Heathfield,241750,38980,32,111,6,18.4,74,79,1383,1.18,1176,545,984.5,83,8,10,8,34,8,CR0 9JU
Croydon 034F,Heathfield,335000,33520,7,50,6,10.5,77,81,1433,0.16,8786,439,17.2,83,10,9,10,36,5,CR2 8AR
Croydon 041D,Kenley,690000,47940,13,29,6,21.3,82,82,1732,0.68,2530,572,104.5,81,9,16,10,20,10,CR2 4EG
Croydon 042A,Kenley,407475,44170,32,44,6,19,79,84,1920,0.77,2493,552,231.4,81,10,18,7,14,12,CR2 5AE
Croydon 040A,Kenley,482500,43700,14,27,6,16.7,80,79,1399,0.4,3504,528,67.5,81,8,19,10,15,7,CR2 5NG
Croydon 040B,Kenley,467500,40690,25,36,6,21.3,83,91,1786,0.53,3379,485,81.3,81,5,27,10,17,6,CR2 4AQ
Croydon 042B,Kenley,385000,43460,27,33,6,15.5,82,88,2021,0.75,2700,537,362.9,79,7,17,10,17,10,CR2 5AH
Croydon 042C,Kenley,730000,48870,19,23,6,26.1,85,97,1476,2.17,680,550,1331.7,78,15,56,40,53,24,CR2 5AS
Croydon 037A,Kenley,372500,42940,27,43,6,12.7,75,74,1429,0.31,4662,564,71.9,86,8,10,6,10,8,CR8 2PA
Croydon 041E,Kenley,320000,40860,17,38,6,16.3,76,77,2116,0.41,5218,474,105.1,90,6,12,11,13,9,CR2 4DE
Croydon 040C,Kenley,367500,41930,18,40,6,13.5,78,76,1581,0.45,3538,542,233.8,85,8,15,10,12,6,CR2 5YS
Croydon 036A,New Addington,300000,29690,6,141,6,12.3,77,107,1650,0.34,4808,448,141.5,80,6,10,10,50,5,CR0 0EG
Croydon 032C,New Addington,345000,33940,17,35,6,13.5,77,104,1430,0.18,7861,599,3.9,80,9,13,7,44,10,CR0 0NA
Croydon 032D,New Addington,335000,31240,5,88,6,11.4,76,98,1464,0.37,3914,472,87.6,79,10,10,7,41,9,CR0 0JA
Croydon 036B,New Addington,321000,29500,6,66,6,15.7,79,86,1757,0.3,5803,427,27.8,81,7,7,10,58,7,CR0 0AT
Croydon 036C,New Addington,300000,27530,4,69,6,17,77,99,1657,0.22,7584,475,39.1,80,9,10,11,49,8,CR0 0DA
Croydon 036D,New Addington,331000,29250,10,64,6,13.7,78,86,1448,0.46,3179,557,224.3,76,8,8,10,57,6,CR0 0BH
Croydon 032E,New Addington,312000,30700,7,60,6,11.7,78,108,1611,0.55,2916,493,316.1,79,7,10,10,53,9,CR0 0EP
Croydon 003A,Norbury,596250,39650,10,30,3,20.4,45,52,1663,0.32,5158,550,88.7,96,9,6,10,20,9,SW16 3NE
Croydon 002A,Norbury,725000,42220,12,66,3,23.5,46,54,1901,0.6,3178,500,211.1,94,10,7,10,23,9,SW16 3EA
Croydon 004A,Norbury,505000,36030,8,87,3,17.1,49,47,1628,0.18,8950,603,18.7,96,6,12,6,15,5,SW16 5QN
Croydon 003B,Norbury,499950,37720,15,50,3,16.7,51,54,1750,0.23,7599,490,28.2,90,10,10,10,13,9,SW16 4RR
Croydon 003C,Norbury,367500,35400,30,100,3,17.6,49,49,2406,0.38,6401,464,113.2,94,9,11,7,13,6,SW16 4AU
Croydon 004B,Norbury,420000,36670,11,47,3,11.3,52,53,1785,0.16,11464,449,18.3,90,9,19,9,16,10,SW16 4TZ
Croydon 004C,Norbury,386500,34310,12,63,3,15.3,49,46,1989,0.16,12661,514,7.4,94,6,16,6,15,6,SW16 4BU
Croydon 004D,Norbury,274000,35000,27,60,3,15,50,50,2365,0.18,13242,526,31.8,95,10,19,5,12,7,SW16 4BQ
Croydon 004E,Norbury,571500,40080,8,65,3,18,52,58,1644,0.32,5149,593,36.2,90,11,21,7,14,11,CR4 6ET
Croydon 037B,Purley,440000,46360,36,43,6,29.1,77,70,1791,0.59,3043,562,82.6,90,6,7,7,10,9,CR2 1XP
Croydon 037C,Purley,401000,42400,24,62,6,13.4,74,77,1715,0.41,4232,532,102.4,93,8,13,10,10,7,CR2 2NB
Croydon 038E,Purley,875000,52850,21,31,6,22.3,78,83,1578,1.17,1349,535,88.7,83,10,10,11,15,10,CR2 3PG
Croydon 031D,Purley,378000,40700,21,115,6,9.3,75,68,1510,0.24,6289,513,24.7,97,10,12,10,10,8,CR2 0HZ
Croydon 037D,Purley,590000,47290,19,33,6,19,78,69,1495,0.39,3788,556,17.1,88,10,12,10,13,10,CR2 0RA
Croydon 037E,Purley,278500,40670,36,183,6,21.9,75,65,2372,0.44,5379,568,62.6,103,10,10,9,7,6,CR2 2DD
Croydon 037F,Purley,683500,48420,21,39,6,18.4,76,70,1479,0.48,3090,542,19.2,86,10,10,9,11,10,CR2 2AN
Croydon 040D,Purley,405000,41300,16,55,6,11,76,73,1572,0.21,7415,489,16.3,90,10,13,10,12,8,CR2 1EB
Croydon 031E,Purley,455000,42820,18,34,6,16.5,76,65,1489,0.24,6118,542,31.9,86,10,12,9,11,8,CR2 0DB
Croydon 035B,Sanderstead,591250,49440,22,18,6,17.3,83,85,1390,0.55,2541,584,9.9,81,9,11,10,20,9,CR2 9NB
Croydon 035C,Sanderstead,542000,47230,16,58,6,28.3,85,88,1482,0.64,2326,508,156,85,7,11,10,17,8,CR2 9YU
Croydon 039A,Sanderstead,550000,43500,29,34,6,27.4,89,96,1719,0.74,2334,494,371.7,80,6,10,10,25,9,CR2 9DE
Croydon 042D,Sanderstead,482000,47480,25,35,6,17.8,79,83,1732,1.71,1015,526,2020,79,12,8,8,14,10,CR2 1EJ
Croydon 039B,Sanderstead,445000,39370,21,36,6,18,88,99,1774,0.99,1795,491,447.6,78,10,14,10,34,9,CR2 9DA
Croydon 039C,Sanderstead,445500,40530,14,44,6,17.1,89,103,1538,0.43,3568,520,136,79,7,7,8,36,5,CR2 9DD
Croydon 035D,Sanderstead,550000,49440,23,23,6,24.4,77,67,1688,0.75,2236,562,145.4,83,8,13,11,24,10,CR2 0AU
Croydon 035E,Sanderstead,630000,51210,23,31,6,25.2,82,84,1794,0.54,3297,553,17.2,83,9,11,11,24,9,CR2 0JJ
Croydon 013B,Selhurst,311000,31710,20,88,5,18.9,62,58,2038,0.47,4323,443,126,92,6,7,8,20,6,CR0 2DA
Croydon 020D,Selhurst,261500,32320,18,83,5,4.8,61,58,1798,0.15,11683,499,12.9,101,8,7,5,16,6,CR0 2BZ
Croydon 010D,Selhurst,370000,33920,15,112,4,9.3,55,55,1671,0.2,8175,485,27.3,95,6,11,8,19,5,SE25 6XB
Croydon 013C,Selhurst,330000,32410,26,91,4,10.5,58,54,1808,0.36,5082,546,114.3,91,7,11,10,18,5,SE25 5RR
Croydon 013D,Selhurst,285000,33110,23,106,4,9.3,56,52,1891,0.18,10726,545,4.3,94,7,8,7,19,6,SE25 6HY
Croydon 013E,Selhurst,285000,31650,15,123,4,6.2,56,54,1436,0.18,8054,490,39.5,94,5,5,7,15,8,CR0 2FP
Croydon 015B,Selhurst,343000,30120,15,116,5,11.9,60,61,1638,0.22,7473,477,72.8,90,7,12,10,7,7,CR0 2TR
Croydon 013F,Selhurst,318500,33390,22,129,4,6.4,59,54,1382,0.16,8752,523,26.9,97,5,6,8,13,7,CR0 2HY
Croydon 015C,Selhurst,255000,32070,22,87,5,15.5,60,63,3036,0.17,17438,511,23.8,98,5,13,9,7,5,CR0 2SJ
Croydon 020E,Selhurst,300000,31020,15,141,4,12.4,59,58,1893,0.19,10183,476,20.1,97,8,9,6,15,6,CR0 2JB
Croydon 034G,Selsdon and Ballards,402500,42630,20,16,6,19.3,79,75,1464,0.69,2125,492,519.2,77,5,11,10,30,10,CR2 8QS
Croydon 033A,Selsdon and Ballards,404000,43120,20,41,6,14.5,79,73,1318,0.31,4302,467,93.2,81,8,13,9,22,6,CR2 8RU
Croydon 039D,Selsdon and Ballards,677500,45380,19,34,6,24.2,85,77,1299,2.22,586,553,1596.4,78,14,12,12,25,12,CR2 8BD
Croydon 033B,Selsdon and Ballards,625000,47810,11,36,6,17.5,82,67,1562,1.24,1262,417,830,84,10,16,10,32,9,CR2 7SF
Croydon 033C,Selsdon and Ballards,450000,46220,17,22,6,24.3,76,77,1567,0.75,2094,567,335.8,82,9,21,10,35,9,CR2 8LF
Croydon 033D,Selsdon and Ballards,560000,48460,17,19,6,29.6,84,79,1575,0.6,2622,565,81.6,82,10,15,9,23,9,CR2 0JS
Croydon 033E,Selsdon and Ballards,490000,43840,11,62,6,21.5,80,72,1692,0.39,4357,539,42.5,86,10,11,5,19,5,CR2 8RQ
Croydon 034H,Selsdon and Ballards,340000,42210,21,19,6,19.6,78,77,1387,0.22,6310,500,19.2,80,10,10,10,30,9,CR2 8AW
Croydon 025A,Shirley,547500,41340,22,34,5,20.1,73,99,1601,0.33,4856,526,16.7,82,8,14,6,41,10,CR0 8PE
Croydon 025B,Shirley,325000,34090,5,42,5,9.5,76,100,1588,0.22,7238,453,77.7,81,8,15,6,44,7,CR0 8NL
Croydon 026D,Shirley,545000,44590,11,26,5,17.5,71,99,1428,0.29,4917,491,48.4,82,6,10,6,37,10,CR0 8PD
Croydon 025C,Shirley,265000,31670,3,38,5,4.8,76,97,1811,0.14,13114,460,69.2,82,10,22,6,48,5,CR0 8LQ
Croydon 018C,Shirley,350000,38890,27,33,5,20.4,66,62,1608,0.16,9811,384,11.8,84,14,15,11,50,14,CR0 7XA
Croydon 018D,Shirley,495000,40970,14,41,5,27.4,69,64,1477,0.43,3422,453,88.7,84,7,7,11,42,9,CR0 7QY
Croydon 026E,Shirley,358750,39770,30,36,5,32.8,69,98,1575,0.4,3941,468,50.8,87,10,10,6,37,8,CR0 8DB
Croydon 018E,Shirley,430000,40380,23,28,5,20,70,67,1679,0.38,4462,544,173.8,86,10,10,10,36,7,CR0 8XJ
Croydon 025D,Shirley,530000,41010,11,61,5,24,71,91,1770,0.45,3926,471,65,86,6,11,10,36,7,CR0 8HU
Croydon 007A,South Norwood,300000,31970,69,146,4,12.3,55,52,2008,0.28,7128,468,68.5,92,10,8,6,17,5,SE25 6BF
Croydon 001A,South Norwood,415000,37860,29,103,3,15.9,48,61,1921,0.36,5411,493,107,96,8,10,7,27,10,SE19 2PR
Croydon 001B,South Norwood,341000,39490,25,57,3,10.4,50,61,1599,0.26,6094,577,59.7,90,10,6,10,31,10,SE19 2PU
Croydon 007B,South Norwood,377500,36290,26,67,4,13,54,58,1670,0.18,9056,584,6.9,95,8,8,5,20,10,SE25 6UR
Croydon 007C,South Norwood,335000,36780,32,58,4,9.7,51,56,1649,0.35,4701,471,188.2,92,7,9,5,26,11,SE25 4AY
Croydon 008A,South Norwood,251375,33550,12,69,4,7.8,55,60,1304,0.15,8534,632,25.7,90,8,7,7,29,5,SE25 4DZ
Croydon 007D,South Norwood,470000,38580,17,71,4,17,53,55,1766,0.31,5691,553,48.2,93,8,6,5,24,10,SE25 4BT
Croydon 008B,South Norwood,320475,32920,12,57,4,14.9,57,58,2030,0.22,9075,518,35.7,92,8,12,11,27,8,SE25 4HG
Croydon 007E,South Norwood,320500,32780,26,98,4,8.8,55,58,1623,0.12,13502,498,0.7,90,12,7,6,21,6,SE25 6DZ
Croydon 008C,South Norwood,245000,29830,17,129,4,7.4,56,53,1883,0.14,13479,439,24.2,97,5,10,10,24,8,SE25 4UF
Croydon 006A,Thornton Heath,369500,35770,18,38,4,10.6,53,56,1623,0.13,12314,444,1.8,89,5,16,5,20,8,CR7 8JR
Croydon 005A,Thornton Heath,327500,32160,26,80,4,8.5,51,57,1694,0.2,8432,449,46.6,95,6,10,8,14,10,CR7 8SF
Croydon 005B,Thornton Heath,357250,35020,24,55,4,11,52,60,1667,0.14,11723,521,5.2,91,9,10,9,16,10,CR7 8GW
Croydon 006B,Thornton Heath,325000,36880,19,51,4,8.8,53,55,1589,0.14,11599,576,11.2,94,8,12,7,23,9,CR7 8QP
Croydon 006C,Thornton Heath,489975,38660,20,57,4,11.1,54,59,1740,0.28,6261,511,89.7,94,9,9,6,22,10,SE25 6RW
Croydon 005C,Thornton Heath,326000,32110,11,80,4,11.8,53,49,1693,0.17,10138,438,15.6,94,5,10,7,19,8,CR7 8ES
Croydon 005D,Thornton Heath,260000,33160,19,91,4,8.9,54,46,1726,0.17,10029,475,17.1,97,6,10,5,17,6,CR7 8SH
Croydon 006D,Thornton Heath,405000,36360,13,51,4,12.6,56,50,1545,0.14,11044,491,8.6,94,5,13,5,25,5,CR7 8SU
Croydon 006E,Thornton Heath,350000,33900,27,105,4,10.6,53,48,2014,0.18,11430,502,39.6,100,7,12,6,20,6,CR7 8SA
Croydon 010E,Thornton Heath,295000,30500,16,213,4,17.6,55,44,1680,0.14,12389,422,4.7,102,8,11,5,18,5,CR7 7GB
Croydon 001C,Upper Norwood,480000,37000,25,57,3,16.7,47,54,1751,0.28,6303,457,102.4,94,8,10,8,20,10,SE19 3RE
Croydon 002B,Upper Norwood,457000,39010,9,59,3,14.3,47,56,1724,0.33,5194,559,84.9,93,6,10,10,20,8,CR7 8BH
Croydon 005E,Upper Norwood,365000,35960,23,76,3,10,49,57,1685,0.21,8028,455,93.7,96,9,9,10,21,6,SE19 3LQ
Croydon 002C,Upper Norwood,402500,39640,24,53,3,19,47,57,1926,0.4,4776,547,122.2,93,7,8,9,22,9,SE19 3HN
Croydon 002D,Upper Norwood,495000,39230,15,56,4,18.4,50,61,1945,0.32,6059,515,17.3,91,6,10,8,18,5,CR7 8DZ
Croydon 003D,Upper Norwood,345000,32000,8,76,3,13.7,47,54,1904,0.3,6398,463,98.9,91,6,10,10,19,11,CR7 8FB
Croydon 001D,Upper Norwood,440000,36300,21,48,3,12.4,46,61,1819,0.31,5791,580,88.9,94,6,6,10,21,10,SE19 3ST
Croydon 002E,Upper Norwood,410000,38480,19,58,3,16,44,53,2054,0.28,7279,511,56.1,97,5,9,10,25,6,SE19 3RA
Croydon 001E,Upper Norwood,377250,39250,34,147,3,8.1,47,61,2144,0.18,11735,555,9.1,97,8,10,10,24,6,SE19 3AJ
Croydon 024C,Waddon,307500,36220,27,56,5,9.2,63,63,1716,0.18,9502,516,13.4,105,8,8,10,13,8,CR0 4JG
Croydon 024D,Waddon,317500,33550,20,87,5,11.6,66,58,1905,0.18,10842,487,19.6,104,6,7,9,16,6,CR0 1AS
Croydon 028A,Waddon,380000,35970,23,73,5,14.5,66,63,2249,0.56,3991,551,194.8,101,9,9,10,11,6,CR0 4RB
