Count ID,Y,X1,X2,X3,X4,X5,X6,X7
1,50.25102439,26.2,69.95843,457837,73.12231,45.43204,203.8078736,42.4
2,75.46409756,97.2,97.72598,40192,99.16526,94.689355,730.1730138,7.8
3,80.08292683,86.4,93.38511442,40192,97.78336137,99.39566,5037.310886,32.62
4,68.32521951,41,55.90261,719499,75.45388,65.35346,18.43125469,72.38
5,79.73658537,86.4,93.38511442,6720,97.78336137,90.26794,5104.018986,2.62
6,55.17341463,24.8,41.65134,40192,54.33282,63.43268,31.92885026,58.4
7,66.53204878,86.4,93.38511442,11042,97.78336137,86.88159,97.98911817,64.36
8,72.75980488,98.3,93.38511442,40192,97.78336137,94.689355,734.0513823,13.96
9,77.79792683,99.7,95.2928,1287,99.68835,114.99525,790.728712,24.74
10,73.41219512,86.4,98.31937,1820,97.48787,95.4827,474.8463716,28.6
11,54.46604878,14.6,93.38511442,983031,97.78336137,41.86731,38.07546425,80.02
12,49.42126829,86.4,66.57154,10817,76.57895,52.427,19.78891361,89.3
13,50.58292683,48.7,93.38511442,176756,97.78336137,75.57465,61.05384615,42.42
14,73.58680488,86.4,84.80354,4532,98.18245,95.04147,146.1051259,39.64
15,46.88370732,86.4,55.23266,213116,64.67003,38.87181,19.33791564,61.26
16,48.88531707,86.4,33.61,40192,46.25708,34.52756,41.78443138,72.86
17,78.76270732,98.5,93.38511442,94211,97.78336137,94.689355,787.1933185,11.28
18,73.0565122,99.4,93.98489,40192,99.36905,94.689355,177.146533,56
19,73.20997561,93.6,93.24468643,301497,97.93743116,115.09731,323.0108129,25.2
20,47.79692683,11.1,66.9929,40192,67.69032,57.83117,15.58424735,65.42
21,79.06917073,99.3,96.05997,40192,98.16321,96.32974,668.492561,36.22
22,54.05590244,47.3,55.25982,1160732,66.55194,49.83237,55.25489071,50.56
23,76.16829268,86.4,98.76207,12687,99.64851,95.05736,1120.371091,42.46
24,78.77321951,97,99.82838,1702,99.98548,97.55195,707.3967037,24.32
25,79.19695122,86.4,97.92726,453,99.87923,103.16041,255.6273657,29.9
26,77.07804878,86.4,93.38511442,40192,97.78336137,100.66717,1383.651436,26.5
27,78.59756098,86.4,93.38511442,16522,97.78336137,97.40611,6272.728682,13.06
28,72.96197561,95.9,93.38511442,56136,97.78336137,93.14844,270.6475982,30.24
